	Employer	JobID	KeywordCount	KeywordList	Location	Relocate	RemoteWork	Title	TitleDetails	TitleFeatures	dataScienceJob
38	Continuum_Analytics	87803	4	['python', 'c++', 'c', 'numpy']	New York, NY	no	no	Client Facing Python Developer		['development', 'python']	yes
39	Airisdata	84870	4	['hadoop', 'apache spark', 'machine learning', 'spark graphx']	Princeton, NJ	no	no	Machine Learning Engineer		['engineer', 'machine_learning']	yes
40	DC_Energy	65546	5	['mysql', 'php', 'curl', 'oop', 'python']	Vienna, VA	no	no	MySQL/PHP Software Developer		['development', 'mysql', 'php', 'software']	yes
41	OptionMetrics	82799	4	['sql', 'c#', 'database design', 'sql server']	New York, NY	no	no	Software Engineer		['engineer', 'software']	yes
42	Red_Alder	82218	6	['oracle11g', 'sql server 2012', 'python', 'amazon web services', 'linux', 'sysadmin']	New York, NY	yes	no	Data Quality and Systems Engineer	DBA/Sys Admin.	['data', 'engineer', 'quality']	yes
43	EMBLEBI	86239	0	[]	Saffron Walden, UK	no	no	Software Engineer		['engineer', 'software']	yes
44	Inria	88038	4	['java ee', 'html5', 'css3', 'angularjs']	Rennes, France	no	no	Collaboration Platform Engineer	M/F 3 years' experience	['engineer']	yes
45	Axom_Technologies	86045	5	['hadoop', 'c++', 'java', 'accumulo', 'c']	Annapolis Junction, MD	no	no	Software Cloud Engineer		['cloud', 'engineer', 'software']	yes
46	Amazon	88256	3	['sql', 'r', 'sas']	Seattle, WA	yes	no	Business Intelligence Engineer		['business_intelligence', 'engineer']	yes
47	ISVWorld	87867	5	['python', 'postgresql', 'heroku', 'bigdata', 'heuristics']	Amsterdam, Netherlands	no	no	Python Developer for Web-scale Big Data projects		['data', 'development', 'python', 'web']	yes
48	Bookingcom	83329	3	['python', 'hadoop', 'machine learning']	Amsterdam, Netherlands	yes	no	Data Scientist		['data_science']	yes
49	Stirplateio	76598	5	['python', 'cloud computing', 'bigdata', 'web applications', 'amazon web services']	New York, NY	no	no	Backend Python guru	help us change science	['back_end', 'python']	yes
50	Bookingcom	85674	5	['r', 'python', 'sql', 'statistics', 'analytics']	Amsterdam, Netherlands	yes	no	Senior Data Scientist		['data_science', 'senior']	yes
51	AlchemyAPI	84742	4	['c++', 'linux', 'stl algorithm', 'bash']	Denver, CO	no	no	Automation Engineer		['engineer']	yes
52	Amazon	87389	4	['4', 'years', 'of', 'java']	Newark, NJ	yes	yes	Software Development Engineer		['development', 'engineer', 'software']	yes
53	Amazon	87674	4	['4', 'years', 'of', 'java']	Newark, NJ	yes	no	Software Development Engineer		['development', 'engineer', 'software']	yes
54	Kipstor_Limited	83089	5	['ios', 'swift', 'xml', 'core data', 'sql']	Liphook, UK	no	no	iOS Software Developer		['development', 'ios', 'software']	yes
55	Conclusive_Analytics	84218	4	['sql server', 'ssrs 2008', 'ssis', 'etl']	Charlotte, NC	yes	no	Database Developer		['database', 'development']	yes
56	Savision	86266	5	['c#', 'sql', 'asp.net mvc 4', 'c++', 'javascript']	Ottawa, ON, Canada	no	no	C# Developer		['development']	yes
